தேவ்டியா 
புண்ட/புண்டை 
பூலு
  ஒம்மபுண்ட 
தேவ்டியாபையா 
கொக்க/ஓக்கா 
ஒம்மள  ஒக   
புண்டை 
சுன்னி 
மயிர்/மயிரு 
ஊம்பு 
கேன புண்டை 
 அக்குள  துக்கி  காமி  டி 
கூதி 
அநாதை  கழுதை  
அறிவு  கேட்ட  கூதி 
அவுத்து  காமி
 பாடு 
சுன்னி 
என்னோட  பூல  ஊம்பு
ஒக்கா  கூதி 
காய் 
காய்  அடித்தல் 
கால   விரிடி 
கி  அடி 
கூதி  மயிர் 
குதி  கொழுத்த  தேவிடியா 
குதிய  விரிக்கிற  தேவிடியா 
மொலைக்கு  நடுவுலே  உதடு  ஒக்க 
மொலைக்கு  நடுவுலே  உடு  ஒழு  த 
ஒக்கல  ஒழி 
ஒம்மள  ஒக்க   
ஒம்மள 
ஒங்கக  புண்ட
குஞ்சு 
பண்ணி   
பாவடையை  தூக்கி காமிடி 
பிசாசு
பூலு
போலோருந்த புண்டமவன்
புளுத்தி 
புளுத்தி புண்ட
புளுதினபூளும்புடி        
புண்டமவளே
புண்டவாய
புண்டாமவனே
புண்டைனக்கி
புண்டைனக்கி
புண்டய நக்கு
சுத்து
சுத்து
சுன்னி
சுன்னியூம்பு
சுத்தா
தாயோளி
தங்க தேவிடியா
தேவிடியா  புள்ள
தேவிடிய மவளே
தோத்தா புண்டை 
தேவடியமவன் 
தேவிடியா  கூதி 
தூமிய குடிக்கி
தேவிடியா  கூதிளா பூலு
தேவ்டியபையா
தொரோந்துகமிடி 
துக்கி காமி
உங்காய கூதி
வாய்ல வாங்கு
வேசி
விருச்சு காமி
அரிப்புஎடுதகுதிமவலெ 
ஆவுசாரிகூடி 
கஜக்கோல் 
கலைவிரிடி 
கண்டாரொழி 
கருங்குதிமவளே 
கீஷணப்ப 
கேனபுண்ட 
கூதி 
கூதிபயலே 
கூதிநக்கு 
குடியபாடு 
குண்டி 
குண்டிமுடி 
குஞ்சிபயலே 
குசுகூதி
கூதிமுடியதடவிகமிடி 
லூசுகூதி 
மைருபுடுங்கி 
மளமட்டுபுண்ட 
மயிரு புடுங்கி
மொலசப்பி 
மொள்ளமாரி 
மொன்னநாயே 
மைராண்டி
முட்டாகூதி 
நாரகூதி 
புடுங்கி
நயீசூதிலெஉன்குஞ்சி 
ஓக்குட்டபாடு 
ஒக்கலாவ்லி 
ஒளிதேபெங்காலி 
ஒல்மாரி 
ஒழுதபுண்டை 
ஒப்பன்புண்டை 
ஊகிலி 
ஊம்பு 
ஊரஓத்ததேவிடிய 
ஊர்தேவிடியா 
ஓக்குட்டபாடு 
ஒத்த 
ஓலு
கூதி
பேப்புண்ட 
கேனகூதி
பொட்ட  புண்ட
பரபுண்ட மவனே 
படுக்க போட்டு ஒக்க
பரதேசி  புண்டை
பட்சதேவிடிய 
பொச்சு  புண்ட
பொச்சு
பூல்பையா 
பூலு 
தேவுடியா
அவுசாரி
புல்லுசப்பி 
புழுத்தி 
புண்டமவனே 
பூல  சப்பு
பூல ஊம்பு
ஒத்த  புண்ட
சக்கிலியாகூதி 
சப்பி         
செலயைதுக்குடி
வாய்ல  வச்சுருவேன்
சுன்னிய உம்பு
புண்டைய மூடு
மொல
மொலை
தேவடியா
தேவிடிய
தேவிடியபுண்டை
மொலைய  அமுக்கவா
நார புண்ட
ஒக்காள ஒக்க
வைலவட்சுகோ
ஒம்மள போட்டு ஒக்க
மொன்ன புண்டை  
கை முட்டி
பர  புண்ட 
ஒம்மாள ஒக்க
கை அடிக்கி
முண்ட  கலப்ப 
ஒத்தா
வைல  வாங்கு 
அறிவு  கேட்ட  முண்டம் 
